Business Name,Address,Place ID,Category Query,City
Cedar Ridge Distillery,"1441 Marak Rd NW, Swisher, IA 52338, United States",ChIJo33cMVRX5IcRx0ojfHmusC8,winery,"West Des Moines, IA"
Wellman's Pub & Rooftop,"597 Market St, West Des Moines, IA 50266, United States",ChIJnz3EGbUh7IcR16i5-RkPaN4,winery,"West Des Moines, IA"
Fleming’s Prime Steakhouse & Wine Bar,"150 S Jordan Creek Pkwy, West Des Moines, IA 50266, United States",ChIJN9lNdL0h7IcRbkeb90KfmwI,winery,"West Des Moines, IA"
Wall to Wall Wine & Spirits,"375 S Jordan Creek Pkwy, West Des Moines, IA 50266, United States",ChIJ65YHekQh7IcRjalJPEa72es,winery,"West Des Moines, IA"
Jasper Winery,"2400 George Flagg Pkwy, Des Moines, IA 50321, United States",ChIJ59xlb8aY7ocRiANr8xlPP9M,winery,"Ankeny, IA"
WineStyles Tasting Station,"1450 SW Vintage Pkwy, Ankeny, IA 50023, United States",ChIJb69ZkCiF7ocRtCHjdk-LnwA,winery,"Ankeny, IA"
The Cellar Winery,"2183 320th St, Madrid, IA 50156, United States",ChIJKxA7JrCJ7ocRiOJk0xPsQNM,winery,"Ankeny, IA"
Ankeny Vineyard,"2565 Riverside Dr S, Salem, OR 97306, United States",ChIJQ-q0Y_AFwFQRUKBaxxj1QXk,winery,"Ankeny, IA"
Vines to Wines,"684 20th St, Des Moines, IA 50314, United States",ChIJifTDMCKZ7ocRbX4iJD-jv3w,winery,"Ankeny, IA"
Summerset Winery,"15101 Fairfax St, Indianola, IA 50125, United States",ChIJLRp_pbe77ocRxDluYhF9NM8,winery,"Ankeny, IA"
Madison County Winery,"3021 St Charles Rd, St Charles, IA 50240, United States",ChIJAYVWFXEG7IcRK9wK1WJ-cZk,winery,"Ankeny, IA"
Nearwood Winery,"1699 IA-14, Knoxville, IA 50138, United States",ChIJz7lfcQAq74cR2Me50Q24hpM,winery,"Ankeny, IA"
District 36 Wine Bar & Grille,"1375 SW Vintage Pkwy, Ankeny, IA 50023, United States",ChIJHQl_9iiF7ocRw2Z91IVn7z0,winery,"Ankeny, IA"
Tassel Ridge Winery,"1681 220th St, Leighton, IA 50143, United States",ChIJ8X4lu4NJ74cROOteYVT_rY0,winery,"Ankeny, IA"
The Vineyard at St. Charles - Wedding Venue,"15166 20th Ave, St Charles, IA 50240, United States",ChIJaWXgoSUC7IcR3DDwaMI1J7Y,winery,"Ankeny, IA"
Firetrucker Brewery,"716 SW 3rd St, Ankeny, IA 50023, United States",ChIJgTMgwxCF7ocRDVf1xQncBBc,winery,"Ankeny, IA"
The Cork 50131,"6205 Merle Hay Rd Suite 130, Johnston, IA 50131, United States",ChIJtzrk5zKd7ocRp1qFKfMzsdU,winery,"Ankeny, IA"
The Chateau at White Oak,"15065 NE White Oak Dr a, Cambridge, IA 50046, United States",ChIJkfoeMq6J7ocR1QE3Ioga7gA,winery,"Ankeny, IA"
Fireside Winery in the Village,"4402 220th Trail, Amana, IA 52203, United States",ChIJ_XZaM1-s5YcRqNUeUAEePjA,winery,"Ankeny, IA"
Fireside Winery,"1755 P Ave, Marengo, IA 52301, United States",ChIJXxoyFEil5YcR2wlo6gFPTLE,winery,"Ankeny, IA"
WineStyles of West Des Moines,"5515 Mills Civic Pkwy Suite 120, West Des Moines, IA 50266, United States",ChIJwRAOnUog7IcRcIzJdNiLrIw,winery,"Ankeny, IA"
The Vineyard at Prairie Trail - a Premier Custom Residential 55+ Community,"2401 Sw Vineyard, Ankeny, IA 50023, United States",ChIJHyHf1omb7ocRVUq9XnODrCM,winery,"Ankeny, IA"
Iowa Grape Vines Winery,"18345 55th St, Maquoketa, IA 52060, United States",ChIJscoV3ify4ocRbopQ51tKkVc,winery,"Ankeny, IA"
The Waiting Room,"617 SW 3rd St Suite 104, Ankeny, IA 50023, United States",ChIJSTQPyk6F7ocRtcH_ooYtsTo,winery,"Ankeny, IA"
Jasper Winery,"2400 George Flagg Pkwy, Des Moines, IA 50321, United States",ChIJ59xlb8aY7ocRiANr8xlPP9M,winery,"Urbandale, IA"
"Cooper’s Hawk Winery & Restaurants- Clive, IA","12801 University Ave, Clive, IA 50325, United States",ChIJQxv4QUsh7IcRHIrZ0UGdC0Y,winery,"Urbandale, IA"
Summerset Winery,"15101 Fairfax St, Indianola, IA 50125, United States",ChIJLRp_pbe77ocRxDluYhF9NM8,winery,"Urbandale, IA"
Vines to Wines,"684 20th St, Des Moines, IA 50314, United States",ChIJifTDMCKZ7ocRbX4iJD-jv3w,winery,"Urbandale, IA"
Covered Bridges Winery,"2207 170th Trail, Winterset, IA 50273, United States",ChIJLSm0aqES7IcRFicE4temfRw,winery,"Urbandale, IA"
WineStyles of West Des Moines,"5515 Mills Civic Pkwy Suite 120, West Des Moines, IA 50266, United States",ChIJwRAOnUog7IcRcIzJdNiLrIw,winery,"Urbandale, IA"
Carper Vineyard and Winery,"4603 Dakota St, Norwalk, IA 50211, United States",ChIJKxQkXsmg7ocROaV0TeixWL8,winery,"Urbandale, IA"
Madison County Winery,"3021 St Charles Rd, St Charles, IA 50240, United States",ChIJAYVWFXEG7IcRK9wK1WJ-cZk,winery,"Urbandale, IA"
The Cork 50131,"6205 Merle Hay Rd Suite 130, Johnston, IA 50131, United States",ChIJtzrk5zKd7ocRp1qFKfMzsdU,winery,"Urbandale, IA"
The Cellar Winery,"2183 320th St, Madrid, IA 50156, United States",ChIJKxA7JrCJ7ocRiOJk0xPsQNM,winery,"Urbandale, IA"
"Urban Cellar - Wine Bar, Grille, And Market","640 S 50th St Suite #2110, West Des Moines, IA 50265, United States",ChIJqQNaY9Yh7IcRzqabH1xHcMQ,winery,"Urbandale, IA"
WineStyles of Johnston,"8460 Birchwood Ct #500, Johnston, IA 50131, United States",ChIJK04DmYSd7ocRP8qqAKIHaBc,winery,"Urbandale, IA"
WineStyles Tasting Station,"1450 SW Vintage Pkwy, Ankeny, IA 50023, United States",ChIJb69ZkCiF7ocRtCHjdk-LnwA,winery,"Urbandale, IA"
Dosaage Vineyard + Winery,"8606 NW 121st St, Grimes, IA 50111, United States",ChIJ8QmS7Ckp7IcR6vEWzqYnSAg,winery,"Urbandale, IA"
Cedar Ridge Distillery,"1441 Marak Rd NW, Swisher, IA 52338, United States",ChIJo33cMVRX5IcRx0ojfHmusC8,winery,"Urbandale, IA"
Van Wijk Winery,"802 4th St, Sully, IA 50251, United States",ChIJI_bmWu4V74cR9Up2wF-HA4c,winery,"Urbandale, IA"
Nearwood Winery,"1699 IA-14, Knoxville, IA 50138, United States",ChIJz7lfcQAq74cR2Me50Q24hpM,winery,"Urbandale, IA"
Tassel Ridge Winery,"1681 220th St, Leighton, IA 50143, United States",ChIJ8X4lu4NJ74cROOteYVT_rY0,winery,"Urbandale, IA"
Louie's Wine Dive,"4040 University Ave suite a, Des Moines, IA 50311, United States",ChIJT2noK8ae7ocRXziEOpW5tc0,winery,"Urbandale, IA"
Sweet Honeymoon Winery,"2661 360th St, Lohrville, IA 51453, United States",ChIJrfWszVxv7YcRXc1FNNOTbDY,winery,"Urbandale, IA"
"Cooper’s Hawk Winery & Restaurants- Clive, IA","12801 University Ave, Clive, IA 50325, United States",ChIJQxv4QUsh7IcRHIrZ0UGdC0Y,winery,"Clive, IA"
